1	56
1	66
1	81
1	100
1	112
1	359
1	381
1	415
1	433
1	446
1	474
1	514
1	544
1	584
1	590
1	669
1	689
1	690
1	723
1	782
1	783
1	843
1	880
1	914
1	953
1	960
2	153
2	731
2	1931
3	961
4	633
5	587
6	37
6	64
6	98
6	602
6	915
6	948
7	21
7	65
7	662
7	681
8	390
8	615
8	1000
8	1003
9	867
9	1980
10	158
10	202
10	260
10	558
10	819
10	969
11	390
11	440
12	387
12	944
13	508
13	776
13	1738
14	250
15	543
15	867
15	1627
16	390
17	145
18	488
18	600
18	662
18	831
19	60
19	846
20	495
21	7
21	662
22	679
22	1675
23	118
23	303
23	335
23	390
23	455
23	469
23	598
23	667
23	698
23	898
24	309
24	703
25	127
25	392
25	406
25	684
25	946
25	951
26	70
26	296
26	357
26	461
26	654
26	682
26	887
27	87
27	263
27	1631
28	393
29	49
29	55
29	106
29	107
29	153
29	275
29	390
29	422
29	522
29	632
29	713
29	747
29	986
29	998
30	739
30	791
30	792
30	817
30	858
31	471
31	505
31	1201
31	1237
31	1280
31	1647
31	1784
31	1985
31	2058
31	2142
32	297
32	471
32	645
32	731
32	778
32	881
32	1280
32	1355
32	1487
32	1737
32	2075
32	2194
32	2641
32	2746
32	2782
32	2988
33	591
33	664
33	685
33	686
33	696
33	844
34	260
35	180
35	366
35	572
35	696
35	698
35	827
35	828
35	1584
36	93
36	500
36	642
36	813
37	6
37	98
37	274
37	329
37	660
37	915
38	80
38	182
38	310
38	444
38	827
38	1265
38	1721
38	2447
39	642
40	488
40	1009
41	146
41	148
41	177
41	411
41	480
41	620
41	624
41	659
41	846
41	848
42	418
42	2745
43	487
43	488
43	643
44	846
45	631
45	677
45	867
46	732
46	750
47	846
48	213
48	777
49	29
49	107
49	422
49	747
50	846
51	762
52	318
52	355
52	356
52	364
52	390
52	438
52	439
52	470
52	481
52	482
52	483
52	516
52	596
52	615
52	746
52	1004
53	611
54	161
54	309
55	29
55	68
55	184
55	275
55	390
55	422
55	522
55	698
55	713
55	747
55	955
55	997
55	998
56	1
56	970
56	971
56	2189
56	3233
57	172
57	505
57	1490
57	1819
57	3245
58	157
58	1125
58	1251
58	1533
58	1605
58	1633
58	1679
58	1766
58	1975
59	180
59	302
59	390
59	414
59	439
59	553
59	696
60	19
60	603
60	846
61	443
61	585
62	943
62	985
63	801
63	2571
64	6
64	98
64	274
64	329
64	660
64	915
64	948
65	7
65	92
65	210
65	239
65	568
65	642
66	1
66	152
66	218
66	266
66	875
66	991
67	331
68	55
68	106
68	176
68	291
68	615
68	713
68	747
68	997
68	998
68	999
69	301
70	26
70	265
70	276
70	296
70	338
70	355
70	356
70	372
70	461
70	505
70	516
71	630
71	658
71	749
72	190
72	938
73	673
74	893
75	990
76	495
77	673
78	734
78	812
78	915
79	505
79	533
79	731
80	38
80	104
80	278
80	460
80	827
80	1018
80	1721
80	2443
80	2652
80	3118
81	1
81	269
81	1542
82	846
83	390
83	657
84	274
84	642
85	742
85	985
86	366
86	390
86	618
86	696
86	697
